user_id,session_time,clicks,page_views,conversion,device_type,signup_source,country,click_rate
1,23.94,7,10,0,Android,Paid Ads,IN,0.7
2,14.94,10,7,0,Android,Paid Ads,US,1.43
3,13.82,11,13,1,Android,Paid Ads,BR,0.85
4,13.82,8,17,0,Android,Referral,DE,0.47
5,46.5,11,13,1,Desktop,Referral,FR,0.85
6,28.67,11,8,0,Android,Paid Ads,BR,1.38
7,11.31,14,12,0,Android,Paid Ads,FR,1.17
8,24.7,12,14,0,iOS,Referral,US,0.86
9,19.99,13,17,0,Android,Paid Ads,US,0.76
10,2.16,6,15,0,iOS,Paid Ads,BR,0.4
11,6.71,12,15,0,Android,Paid Ads,FR,0.8
12,21.06,10,8,0,Desktop,Organic,US,1.25
13,43.65,8,16,0,Desktop,Paid Ads,DE,0.5
14,13.92,7,11,0,iOS,Organic,IN,0.64
15,10.58,10,9,1,Desktop,Paid Ads,IN,1.11
16,18.14,8,11,0,Android,Referral,US,0.73
17,10.05,16,12,1,Android,Organic,FR,1.33
18,13.18,16,11,0,iOS,Organic,US,1.45
19,16.49,4,15,1,iOS,Paid Ads,FR,0.27
20,6.4,12,20,1,Android,Paid Ads,DE,0.6
21,29.7,11,11,0,Android,Organic,FR,1.0
22,5.35,11,17,0,Android,Referral,US,0.65
23,4.73,6,17,1,Android,Referral,DE,0.35
24,19.34,8,12,0,Android,Paid Ads,BR,0.67
25,28.13,9,18,0,iOS,Referral,IN,0.5
26,18.98,9,12,0,Android,Referral,US,0.75
27,15.22,13,14,1,Android,Paid Ads,US,0.93
28,13.07,7,7,1,iOS,Referral,US,1.0
29,11.4,12,10,0,iOS,Paid Ads,DE,1.2
30,34.38,6,9,0,Desktop,Organic,BR,0.67
31,21.21,16,20,0,iOS,Paid Ads,FR,0.8
32,12.17,11,16,0,Android,Organic,BR,0.69
33,9.37,9,8,1,Desktop,Organic,DE,1.12
34,25.88,7,15,0,iOS,Referral,US,0.47
35,33.83,9,13,0,Android,Referral,IN,0.69
36,31.81,7,12,0,iOS,Referral,US,0.58
37,8.01,11,11,1,Desktop,Paid Ads,FR,1.0
38,12.98,11,5,0,Android,Referral,IN,2.2
39,11.21,10,7,0,Android,Organic,US,1.43
40,14.38,6,19,0,Android,Referral,IN,0.32
41,29.51,9,20,0,Android,Referral,BR,0.45
42,41.02,10,10,0,Android,Paid Ads,DE,1.0
43,21.78,11,12,0,iOS,Paid Ads,US,0.92
44,9.65,13,14,0,Android,Organic,FR,0.93
45,16.21,9,6,1,Desktop,Paid Ads,BR,1.5
46,46.13,4,10,1,iOS,Referral,US,0.4
47,17.82,10,10,1,iOS,Paid Ads,BR,1.0
48,13.1,8,18,0,Desktop,Organic,FR,0.44
49,13.99,5,17,1,Android,Referral,US,0.29
